actor,years_covered,n_docs,avg_tecnocracia_v0,avg_paternalismo,avg_mesianismo,dominant_vector,secondary_vector,directed_two_body_configuration,attractor_strength_summary,n_configuration_transitions,stability_label,caution_level,readiness_status,main_interpretive_hypothesis,required_caveat
Raúl Alfonsín,1983–1989,8,19.223,15.947,5.09,tecnocracia,paternalismo,tecnocracia+paternalismo,,5,unstable,medium,provisional,"Alfonsín's discourse is characterized by high orbital instability: the dominant vector shifts repeatedly among tecnocracia, paternalismo, and mesianismo across the eight-year term. The 1983 inauguration and 1986–1987 aperturas anchor tecnocracia; the 1984–1985 addresses show paternalismo dominance; the 1989 final address pivots to mesianismo. The 1988 extraordinary session (Carapintada crisis) shows the only tec+mes configuration in the corpus, reflecting constitutional-juridical defense combined with democratic-mission appeal. No single configuration is stable across the presidency.","Two documents retain active caution flags: 1985 (still_ambiguous near-tie, gap=0.822) and 1988 extraordinary (indeterminate attractor, tec=mes exact tie, session-record format). The 1989 mesianismo dominance is a single-year signal and should not be over-weighted. Mesianismo secondary is notable across the term (avg_mes=5.09, highest of all democratic actors)."
Carlos Menem,1990–1999,11,19.115,32.014,2.415,paternalismo,tecnocracia,paternalismo+tecnocracia,,3,moderate,low,strong_provisional,"Menem's discourse is persistently paternalismo-dominant across eleven years — the largest corpus in the democratic period. The paternalismo+tecnocracia configuration holds in 9 of 11 documents. The paternalist mass in Menem's rhetoric is robust across the neoliberal economic reorientation of the 1990s: the government's market-liberalizing program is articulated in a paternalist rhetorical register, not a technocratic one. The 1996 apertura is uniquely paternalismo+none (secondary vector absent), and 1997 is the only tecnocracia+paternalismo instance. The 1994 (possible_overcorrection) and 1995 (still_ambiguous) flags are cleared but note near-ties and AGN suppression respectively.","Caution level: low (n=11, share_problematic=0.182). Two cleared flags remain interpretively relevant: 1994 possible_overcorrection (AGN exclusion suppressed tec; constitutional reform year); 1995 still_ambiguous (effective tec=pat co-dominance, gap=0.911/82.893 = 1.1%). The 1995 second-term inaugural is a distinct weak-attractor document. Do not conflate Menem's rhetorical register with his policy orientation."
Fernando de la Rúa,1999–2001,3,22.164,27.379,6.228,paternalismo,tecnocracia,paternalismo+tecnocracia,,1,moderate,medium,provisional,"De la Rúa's three-document corpus shows a paternalismo+tecnocracia configuration in 2000 (strong) and 1999 (inauguration, medium), shifting to tecnocracia+paternalismo in 2001 as economic crisis deepened. The 2001 flip coincides with IMF adjustment pressure and the political context of austerity. The overall actor profile (paternalismo dominant) reflects the 2000 strong-attractor document's weight.","n=3 documents only. Medium caution. The 2001 address (tecnocracia+paternalismo, NB05 ambiguity flag) represents a rhetorical shift consistent with fiscal-austerity framing but the corpus is too small for confident trajectory claims. Corpus ends with resignation (Dec 2001) — no exit speech in corpus."
Adolfo Rodríguez Saá,2001–2001,1,3.54,9.666,5.582,paternalismo,mesianismo,paternalismo+mesianismo,,0,stable,high,single_document,"Rodríguez Saá's single corpus document (inauguration, Dec 22–23 2001) shows a distinctive paternalismo+mesianismo configuration — the only paternalismo+mesianismo in the democratic corpus. The strong attractor reflects the high-intensity populist and crisis-redemption rhetoric of his brief presidency. No trajectory is assessable from one document.","n=1 document. HIGH caution. Single-document actor — no aggregation is valid. Treat as a single data point only. The strong attractor may reflect the extraordinary political circumstances (financial collapse, default declaration) rather than a stable discourse pattern."
Eduardo Duhalde,2002–2003,3,18.699,19.834,10.962,paternalismo,tecnocracia,paternalismo+tecnocracia,,1,moderate,medium,provisional,Duhalde's three-document corpus shows an inaugural paternalismo+mesianismo configuration (Jan 2002) followed by a shift to tecnocracia+paternalismo in both apertura addresses (2002 and 2003). The transition from crisis-redemption to technocratic-governance framing across 2002 tracks the stabilization phase of the post-collapse administration.,n=3 documents. Medium caution. Mesianismo is elevated at actor level (avg_mes=10.962 — highest among multi-year democratic actors) due to the 2002 inaugural. The two apertura addresses are NB05 ambiguous (ambiguity_flag=True). Duhalde profile is provisional and should not be cited for strong configuration claims.
Néstor Kirchner,2003–2007,5,27.833,28.448,1.867,paternalismo,tecnocracia,paternalismo+tecnocracia,,1,stable,medium,provisional,Kirchner's five-document corpus shows a paternalismo+tecnocracia inaugural (2003) followed by a shift to tecnocracia+paternalismo in 2005–2007 (three consecutive years). The overall actor profile (paternalismo barely dominant at avg: 28.448 vs 27.833) reflects genuine near-parity across the term. The 2003 inauguration's possible_overcorrection flag (cleared) notes that TCM downweighting drove the paternalismo assignment; the 2005–2007 apertura run anchors the tecnocracia signal. Kirchner's discourse is the most balanced tec/pat dyad in the democratic corpus.,"n=5 documents. Medium caution. share_ambiguous=0.8 (4/5 documents have NB05 ambiguity flag). The tec/pat near-parity makes any strong directional claim about Kirchner's dominant vector unreliable. The 2007 last apertura (gap=0.935, total=56.606 = 1.7%) is effectively a tie. Kirchner's corpus is the most ambiguous in the democratic period."
Cristina Fernández de Kirchner,2007–2015,9,18.305,15.958,1.483,tecnocracia,paternalismo,tecnocracia+paternalismo,,4,moderate,low,strong_provisional,"CFK shows the most consistent strong-attractor configuration in the democratic corpus: 6 of 9 documents score strong attractor strength. The actor modal configuration paternalismo+tecnocracia (5 documents) is interrupted by four tecnocracia+paternalismo instances (2008, 2011 apertura, 2011 inauguration, and 2012 inverted). The 2008 tecnocracia+paternalismo document is particularly strong (gap=38.408, strength=strong) — the sharpest technocratic dominance in the CFK corpus. Overall the actor profile shows tecnocracia as the average-dominant vector (avg_tec=18.305 > avg_pat=15.958) despite the modal configuration being paternalismo+tecnocracia. CFK's discourse shifts across her two terms in ways that warrant intra-term disaggregation in future analysis.",n=9 documents. LOW caution. share_ambiguous=0.111 (1/9). One cleared flag: 2014 still_ambiguous (gap=0.983/2.6% — near-tie). The 2009 document is in the registry but not in the NB08 democratic corpus (possible pipeline gap — not in NB08 table). The 2015 apertura (last document) is in the 'Macrismo' period boundary — filed under CFK/Kirchnerismo in NB09 but listed under period 10 in NB08. Nominal actor caution=low is the strongest reading confidence in the democratic corpus.
Mauricio Macri,2015–2019,5,20.542,13.914,0.869,tecnocracia,paternalismo,tecnocracia+paternalismo,,3,unstable,medium,provisional,"Macri's corrected profile (n=5, after removing the misattributed Alberto Fernández 2019 inauguration) shows tecnocracia+paternalismo as the modal configuration across the Macrismo period: the 2016 and 2017 aperturas and the 2019 final apertura anchor tecnocracia dominance with strong attractor. The 2015 inauguration is the only paternalismo+tecnocracia document (characteristic of inaugural addresses across actors). The 2018 apertura retains an indeterminate attractor (low total score, tec_TM=0.0 despite TM-type content) and should not carry full weight. The corrected profile is internally coherent: tecnocracia dominates the working-presidency aperturas.","CORRECTED PROFILE. Metadata correction applied 2026-04-29. Profile based on 5 documents (was 6 before correction). Medium caution. The 2018 document has indeterminate attractor (total_score=10.44, tec_TM=0.0) — treat as low-weight. The 2018 document's tec_TM=0.0 despite clear TM-type content (digital government, Estado moderno) may indicate a pattern-set gap for this speech style. The corrected profile should not be cited as final until a full pipeline v1 re-run confirms actor-level aggregations."
Alberto Fernández,2019–2022,4,15.456,16.356,0.77,paternalismo,tecnocracia,paternalismo+tecnocracia,,1,moderate,high,provisional_high_caution,"Alberto Fernández's corpus begins in 2019 after metadata correction (the inauguration address was previously misattributed to Macri). The four-document profile shows paternalismo+tecnocracia as the modal configuration (2021 and 2022). The 2019 and 2020 addresses are tecnocracia+paternalismo — the inversion is consistent across the transition from inauguration to first-year governance. Overall actor averages show paternalismo barely above tecnocracia (16.356 vs 15.456), making this the most tightly paired actor-level dyad in the democratic corpus after Kirchner. The 2019 inauguration retains an indeterminate attractor (exact tie tec=pat=14.001).","CORRECTED PROFILE. Profile includes 2019 inauguration recovered from Macri misattribution. HIGH caution (share_problematic_audit=0.5, n=4). The 2019 document has indeterminate attractor (exact tec=pat tie). The 2022 address is still_ambiguous (cleared_provisional, gap=1.49/3.9%). share_ambiguous_nb05=1.0 (all 4 documents have NB05 ambiguity flag). This profile should not be used for strong configuration claims. Caution remains high pending corpus expansion (2023 apertura not in corpus). Interpret separately from Macri; do not use the pre-correction merged profile."
Javier Milei,2024–2025,2,18.212,11.188,13.435,tecnocracia,mesianismo,tecnocracia+mesianismo,,0,stable,medium,provisional_insufficient_corpus,Milei shows a distinctive tecnocracia+mesianismo configuration across both available documents — the only actor in the democratic corpus where mesianismo is a sustained secondary vector at actor level. The 2024 address is medium-attractor; the 2025 address strengthens to strong-attractor with increasing score density. The avg_mes=13.435 is by far the highest mesianismo score in the democratic corpus (next highest: Alfonsín avg_mes=5.09). The tecnocracia+mesianismo configuration is empirically distinctive but rests on n=2 documents only — corpus expansion is required before confident claims.,n=2 documents. Medium caution. PROVISIONAL — insufficient corpus. The 2024 document has NB05 ambiguity flag (gap=2.223/5.4%). The 2023 inaugural is in the registry but not in the NB08 democratic corpus (Milei assumed office Dec 2023 — this apertura may not have been processed). Do not cite tecnocracia+mesianismo as a confirmed Milei configuration. Reassess after 2026 apertura ingestion.
