case_unit,actor,period_or_years,corpus_lineage,source_status,coverage_level,dominant_configuration,secondary_or_tertiary_vector,attractor_strength_or_interpretive_strength,main_evidence_basis,interpretive_hypothesis,caution_level,comparability_tier,required_caveat,next_evidence_needed
PERON_1946_ASUNCION,Juan Domingo Perón,1946 (4 jun 1946),PERON_ALT_PIPELINE,usable_one_document_hypothesis,1 documento / 45 segmentos A / 5072 palabras limpias / 2.80% incertidumbre,mesianismo+paternalismo,tecnocracia (terciario — reconstrucción institucional explícita),fuerte en segmentos primarios (45 A_segmentable); MES=82 > PAT=64 > TEC=63,"PERON_NB02_1946_PROPOSITIONAL_REVIEW_v0_1; PERON_SRC_003 (BLQ-02b + micro-review BCN cross-reference)","La asunción de 1946 organiza el mandato inaugural como ruptura fundacional (MES): derrumbe de la antigua farsa, voluntad popular como legitimidad histórica, fechas fundacionales (17-oct, 24-feb). El paternalismo es promisorio: justicia social adeudada a las masas trabajadoras, reforma social anunciada. La tecnocracia nombra un mandato activo de reconstrucción (Consejo Nacional de Posguerra, industrialización, planificación hidráulica). TEC sirve al mandato inaugural —no lo subordina, lo instrumenta.",alto — un solo documento; género inaugural puede inflar MES (efecto de género no controlado); sin calibración TM/TCM/AGN; 150 marcadores [UNCERTAIN_OCR] remanentes,TIER_2_PERON_CLEAN_DOCUMENT_PHASE,"No comparar numéricamente con actores HCDN. Un documento no establece perfil de actor. El efecto de género (asunción inaugural vs apertura anual) no está controlado. La hipótesis aplica exclusivamente a este discurso.","PERON_NB02_1973 (requiere fuente alternativa 1973); PERON_NB04 (perfil tri-documento 1946+1954+1973); nota puente para comparación con corpus HCDN"
PERON_1954_APERTURA,Juan Domingo Perón,1954 (19 may 1954),PERON_ALT_PIPELINE,usable_one_document_hypothesis,1 documento / 90 segmentos de prosa / 4621 palabras limpias / 2.16% incertidumbre,mesianismo+paternalismo,tecnocracia (terciario — debilitado; aparato asumido),fuerte en segmentos de prosa (90 segmentos); MES=122 > PAT=110 > TEC=54; TEC es el único vector que cae en score absoluto a pesar de corpus mayor,"PERON_NB02_1954_PROPOSITIONAL_REVIEW_v0_1; PERON_SRC_013 (BLQ-02a + micro-review + BLQ-03)","La apertura de 1954 opera bajo una lógica de consolidación providencial-doctrinal (MES): las tres banderas como trívium mesiánico (7×), peronismo como movimiento de salvación histórica (7×), Providencia divina (4×), gloria y eternidad (4×). El paternalismo se organiza: organizaciones del pueblo como cuerpo social (10×); el pueblo ya no es receptor sino fuerza organizada. La tecnocracia es aparato asumido: independencia económica como doctrina sistémica (6×); la agenda de reconstrucción de 1946 está completa o implícita. TEC es el único vector cuyo score absoluto cae (-9) pese al mayor corpus —el hallazgo más robusto del contraste de fase.",alto — un solo documento; escalada conflicto Iglesia-Estado contextualiza el discurso (no generalizable); sin calibración TM/TCM/AGN; 100 marcadores [UNCERTAIN_OCR] remanentes,TIER_2_PERON_CLEAN_DOCUMENT_PHASE,"No comparar numéricamente con actores HCDN. Un documento no establece perfil de actor. La caída de TEC en score absoluto es el hallazgo más analíticamente robusto del contraste de fase 1946–1954.","PERON_NB02_1973 (fuente alternativa 1973); PERON_NB04 (perfil tri-documento); nota puente hacia corpus HCDN"
ALFONSIN_1983_1989,Raúl Alfonsín,1983–1989,HCDN_PROMOTED_LAYER,canonical_promoted,8 documentos (1983–1989),tecnocracia+paternalismo (avg-level); sin configuración modal estable — 5 transiciones en 8 documentos,"mesianismo terciario elevado (avg_mes=5.09 — máximo del corpus democrático); aparece como primario (1989) y como secundario en momentos de crisis","variable; 5 transiciones en 8 documentos (inestabilidad orbital máxima del corpus); 2 documentos indeterminate o low-weight","NB08_democratic_actor_profiles; NB10_interpretive_synthesis; NB09_case_packet_Alfonsin; avg_tec=19.223 / avg_pat=15.947 / avg_mes=5.09","Alfonsín presenta la mayor inestabilidad orbital del corpus democrático. El vector dominante rota entre tecnocracia (1983, 1986–1987, 1988 apertura), paternalismo (1984–1985) y mesianismo (1989). En la sesión extraordinaria de diciembre 1988 (crisis Carapintada) el modelo registra un empate exacto tec=mes. La inestabilidad no es un defecto del corpus: es el hallazgo principal. El mesianismo aparece consistentemente en documentos de presión de crisis.",medio — caution_level=medium; dos flags activos: 1985 near-tie cleared_provisional (gap=0.822/1.2%); 1988 extraordinaria indeterminate (tec=mes exacto; formato de acta); el conteo de transiciones puede estar inflado si se excluye el doc extraordinario,TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"La inestabilidad es el hallazgo —no implica incoherencia política. El mesianismo de crisis no establece que Alfonsín sea un actor mesiánico estructural. No clasificar como tipo fijo. La configuración actor-level (tec+pat) no estabiliza un perfil: es el promedio de una trayectoria inestable.","Lectura cualitativa apertura 1989 (mesianismo dominante; hiperinflación); desagregación intra-mandato 1983–1986 (consolidación democrática) / 1987–1989 (crisis); comparación con apertura Menem 1989 como contrapunto"
MENEM_1990_1999,Carlos Menem,1990–1999,HCDN_PROMOTED_LAYER,canonical_promoted,11 documentos (1990–1999) — mayor corpus del período democrático,paternalismo+tecnocracia (9/11 documentos),"tecnocracia (secundario persistente); mesianismo terciario bajo (avg_mes=2.415)","strong_provisional; caution_level=low; 3 transiciones en 11 documentos (tasa de estabilidad=0.7 — moderado)","NB08_democratic_actor_profiles; NB10_interpretive_synthesis; NB09_case_packet_Menem; avg_tec=19.115 / avg_pat=32.014 / avg_mes=2.415","Menem sostiene paternalismo+tecnocracia en 9 de 11 documentos a través de los diez años de reforma de mercado de los 1990. avg_pat=32.014 es el más alto del corpus democrático. El hallazgo más relevante es la disociación entre registro discursivo paternalista y orientación gubernamental reformista: el mayor reformador de mercado de la democracia argentina enuncia su discurso presidencial en un registro consistentemente tutelar. La apertura de 1992 concentra pat=70.362 —el score más alto del corpus democrático para cualquier vector.",bajo — caution_level=low; dos flags cleared_provisional: 1994 posible sobrecorrección AGN (reforma constitucional; lenguaje institucional-técnico AGN excluido por calibración) y 1995 near-tie (gap=0.911/1.1%); no confundir calidad de datos (caution=low) con solidez de la interpretación (la disociación discurso/gobierno es una proposición analítica),TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"No conflate registro discursivo paternalista con política de Estado. Los flags 1994 y 1995 están cleared pero retienen relevancia interpretativa: 1994 puede subestimar TEC por exclusión AGN; 1995 es genuinamente co-dominante. La disociación discurso/gobierno es el argumento analítico clave de este caso —no una descripción del gobierno menemista.","Lectura cualitativa apertura 1992 (pat=70.362 — mecánica retórica del registro paternalista extremo); desagregación primer mandato (1990–1995) / segundo mandato (1995–1999); análisis de la apertura inaugural de 1989 (en registro HCDN pero posiblemente ausente de NB08)"
DELARUA_1999_2001,Fernando de la Rúa,1999–2001,HCDN_PROMOTED_LAYER,canonical_promoted,3 documentos (1999–2001) — corpus truncado por renuncia dic 2001,paternalismo+tecnocracia (actor-level; inauguración 1999 y apertura 2000),tecnocracia como secundario; shift a tecnocracia+paternalismo en 2001 (presión de ajuste); avg_mes=6.228 elevado relativo al corpus,"variable; 1 transición en 3 documentos; strong en 2000; medium en 1999; NB05 ambiguity flag en 2001","NB08_democratic_actor_profiles; NB10_interpretive_matrix; avg_tec=22.164 / avg_pat=27.379 / avg_mes=6.228","El corpus de De la Rúa muestra paternalismo+tecnocracia en la inauguración 1999 y la apertura 2000 (strong attractor). En 2001 —bajo presión de ajuste con el FMI y aceleración de la crisis económica— el modelo registra un shift a tecnocracia+paternalismo. El perfil es demasiado pequeño para reclamos de trayectoria. avg_mes=6.228 es elevado en el contexto del corpus democrático; el mesianismo en De la Rúa no ha sido objeto de análisis cualitativo.",medio — caution_level=medium; n=3; corpus terminado por renuncia —no hay discurso de salida; el flip de 2001 es consistente con el contexto de ajuste pero el corpus es demasiado pequeño para atribuirle causalidad,TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"Corpus truncado —no hay document final. El flip de 2001 es interpretable pero no confirmable con n=3. No inferir trayectorias desde un corpus tan pequeño.","Ninguna acción inmediata para De la Rúa; integrar en v1 pipeline re-run; analizar avg_mes=6.228 si se produce lectura cualitativa"
DUHALDE_2002_2003,Eduardo Duhalde,2002–2003,HCDN_PROMOTED_LAYER,canonical_promoted,3 documentos (2002–2003),paternalismo+tecnocracia (actor-level); paternalismo+mesianismo en inauguración de emergencia (ene 2002),"mesianismo elevado como secundario en inauguración (avg_mes=10.962 — máximo multi-año del corpus democrático); shift a tecnocracia como secundario en aperturas regulares 2002 y 2003","variable; 1 transición (mes→tec como secundario); ambos aperturas regulares tienen NB05 ambiguity flag","NB08_democratic_actor_profiles; NB10_interpretive_matrix; avg_tec=18.699 / avg_pat=19.834 / avg_mes=10.962","La inauguración de enero 2002 (post-default, colapso institucional) muestra paternalismo+mesianismo —el único caso de esa configuración en inauguraciones del corpus democrático junto con Rodríguez Saá. Los dos aperturas regulares (2002 y 2003) giran a tecnocracia+paternalismo, trazando una transición de crisis-redención a gestión técnica. avg_mes=10.962 es el más alto del corpus democrático multi-año, atribuible al inaugural de emergencia.",medio — caution_level=medium; n=3; avg_mes elevado es un artefacto de la inauguración de emergencia, no un rasgo estructural; dos aperturas con NB05 ambiguity flag; no inferir mesianismo estructural del actor desde un documento de colapso,TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"El avg_mes no establece que Duhalde sea un actor mesiánico: refleja el contexto de colapso institucional. Los aperturas regulares 2002 y 2003 son más moderados. El patrón paternalismo+mesianismo en inauguraciones de crisis es coherente con Rodríguez Saá y Alfonsín 1989 —no es un rasgo de Duhalde como actor sino del discurso presidencial bajo ruptura institucional.","Ninguna acción inmediata; integrar en v1 pipeline re-run; análisis cualitativo del inaugural de 2002 si se busca entender la mecánica retórica de mesianismo de crisis"
KIRCHNER_2003_2007,Néstor Kirchner,2003–2007,HCDN_PROMOTED_LAYER,canonical_promoted,5 documentos (2003–2007),paternalismo+tecnocracia (actor-level; near-parity — avg_pat=28.448 vs avg_tec=27.833),"tecnocracia (near-parity como secundario — diferencia < 1 punto); shift intra-mandato: inauguración 2003 pat+tec; aperturas 2005–2007 tec+pat","estable (1 transición en 5 documentos); pero share_ambiguous_nb05=0.8 — la estabilidad orbital coexiste con ambigüedad de vector en 4/5 documentos","NB08_democratic_actor_profiles; NB10_interpretive_matrix; avg_tec=27.833 / avg_pat=28.448 / avg_mes=1.867","Kirchner presenta la mayor ambigüedad proposicional del corpus democrático: 4/5 documentos tienen NB05 ambiguity flag; la diferencia tec/pat a nivel actor es de 0.615 puntos (1.1% del total). La inauguración 2003 es paternalismo+tecnocracia; los aperturas 2005–2007 se mueven consistentemente a tecnocracia+paternalismo. La estabilidad orbital (1 transición) no implica claridad de vector —es estabilidad dentro de una zona de ambigüedad.",medio — caution_level=medium; share_ambiguous_nb05=0.8 — mayor ambigüedad del corpus; la near-parity hace cualquier reclamo de dirección cuestionable; la apertura 2007 (gap=0.935/1.7%) es efectivamente un empate,TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"La estabilidad orbital de Kirchner no implica que el vector dominante esté claro. La distinción entre paternalismo dominante y tecnocracia dominante no está empíricamente resuelta en este corpus. No citar una dirección como confirmada.","Comparación intra-término 2003–2007 (inauguración vs aperturas); v1 pipeline re-run; comparación con CFK para evaluar continuidad discursiva dentro del kirchnerismo"
CFK_2007_2015,Cristina Fernández de Kirchner,2007–2015,HCDN_PROMOTED_LAYER,canonical_promoted,9 documentos (2007–2015) — corpus más grande del período kirchnerista,paternalismo+tecnocracia (modal: 5/9 documentos); tecnocracia+paternalismo (avg-level: avg_tec=18.305 > avg_pat=15.958),"paternalismo (secundario en avg-level); tecnocracia (dominante en avg-level — diferencia explicada por doc 2008 con gap=38.408); mesianismo muy bajo (avg_mes=1.483)","strong_provisional — fortaleza atractora más alta del corpus: 6/9 documentos strong attractor; caution_level=low","NB08_democratic_actor_profiles; NB10_interpretive_synthesis; NB09_case_packet_CFK; avg_tec=18.305 / avg_pat=15.958 / avg_mes=1.483","CFK presenta el patrón orbital más consistente y de mayor fortaleza atractora del corpus democrático disponible. La configuración modal (paternalismo+tecnocracia en 5/9) difiere del vector promedio dominante (tecnocracia), discrepancia explicada por la apertura de 2008 (gap=38.408 — la brecha tecnocrática más amplia del corpus CFK). La lectura provisional es un registro de tecnocracia-con-paternalismo, con intensificación tecnocrática en el primer mandato y perfil más paternalista consolidado en el segundo. La disgregación intra-mandato es una tarea empírica pendiente.",bajo — caution_level=low (más bajo del corpus); 1 flag cleared_provisional (2014 near-tie gap=0.983/2.6%); apertura 2009 posiblemente ausente del corpus NB08 (en registro pero no en tabla NB08),TIER_1_HCDN_DEMOCRATIC_ACTOR_PROFILE,"Desagregación primer/segundo mandato pendiente. El vector promedio dominante (tecnocracia) difiere del modal (paternalismo). No reducir a tipo fijo. La apertura 2009 puede ser un gap en el corpus NB08 —verificar antes de afirmar trayectoria completa.","Desagregación 2007–2011 / 2011–2015; ingestión/verificación apertura 2009 si ausente del corpus NB08; comparación con Kirchner (NK) para evaluar continuidad o quiebre discursivo intra-kirchnerismo"
MACRI_2015_2019,Mauricio Macri,2015–2019,HCDN_PROMOTED_LAYER,canonical_promoted_corrected — corrección de metadatos 2026-04-29 (patch v0_2),5 documentos post-corrección (era 6 antes de corrección — Mensaje 2019 era asunción Alberto Fernández),tecnocracia+paternalismo (modal: 3/5 documentos — 2016; 2017; apertura 2019),"paternalismo (secundario); mesianismo mínimo (avg_mes=0.869 — más bajo del corpus democrático)","strong en 3 aperturas de gobierno activo (2016; 2017; 2019); indeterminate en 2018 (low-weight); 3 transiciones en 5 documentos (inestable)","NB08_democratic_actor_profiles corrected; NB10_interpretive_matrix; NB09_case_packet_Macri; avg_tec=20.542 / avg_pat=13.914 / avg_mes=0.869","El perfil corregido (sin asunción Alberto Fernández 2019 mal atribuida) muestra tecnocracia+paternalismo en los aperturas de gobierno activo. La inauguración 2015 es paternalismo+tecnocracia —patrón inauguracional consistente con otros actores. avg_mes=0.869 es el más bajo del corpus: el discurso de Macri muestra mínima presencia de mesianismo, coherente con un registro técnico-programático. El doc 2018 retiene indeterminate attractor (tec_TM=0.0 pese a contenido TM-tipo — posible gap del pattern set).",medio — PERFIL CORREGIDO (patch v0_2); no validado por v1 pipeline re-run completo; doc 2018 indeterminate y low-weight; corrected provisional hasta confirmación v1,TIER_3_PROVISIONAL_LOW_N,"No comparar con perfil pre-corrección: el perfil fusionado pre-corrección (con inauguración Alberto Fernández incluida) no tiene validez interpretativa. No citar como perfil final hasta v1 re-run. El doc 2018 es low-weight en la agregación.","Pipeline v1 re-run completo para confirmar agregaciones actor-level; lectura cualitativa doc 2018 para evaluar gap del pattern set en ese estilo de discurso"
ALBERTOF_2019_2022,Alberto Fernández,2019–2022,HCDN_PROMOTED_LAYER,canonical_promoted_corrected — asunción 2019 recuperada de mala atribución a Macri (patch v0_2),4 documentos post-corrección (incluyendo asunción 2019 recuperada),paternalismo+tecnocracia (modal: 2021 y 2022); near-parity a nivel actor (avg_pat=16.356 vs avg_tec=15.456 — brecha 5.5%),"tecnocracia (near-parity como secundario); mesianismo muy bajo (avg_mes=0.77); share_ambiguous_nb05=1.0 (todos los documentos tienen NB05 ambiguity flag)","variable; 2019 inauguration indeterminate (tec=pat=14.001 — empate exacto); 1 transición; avg gap entre vectores es el más ajustado del corpus después de Kirchner","NB08_democratic_actor_profiles corrected; NB10_interpretive_matrix; avg_tec=15.456 / avg_pat=16.356 / avg_mes=0.77","El corpus de Alberto Fernández comienza con la asunción 2019 recuperada. Los 4 documentos tienen NB05 ambiguity flag; la diferencia entre vectores a nivel actor es de 5.5% — la más ajustada del corpus después de Kirchner. La asunción 2019 registra empate exacto (tec=pat=14.001). La ambigüedad persistente puede ser el hallazgo principal: el discurso presidencial genuinamente combina los dos registros del díada sin jerarquía estable.",alto — caution_level=high; share_ambiguous_nb05=1.0; apertura 2023 ausente (mandato incompleto); PERFIL CORREGIDO no validado por v1 pipeline re-run,TIER_3_PROVISIONAL_LOW_N,"Leer independientemente del perfil de Macri. No usar perfil pre-corrección fusionado. No emitir reclamos fuertes de configuración con caution=high. La ambigüedad persistente puede ser el hallazgo, no un defecto del corpus.","Ingestión apertura 2023 para completar el mandato; v1 pipeline re-run; comparación con Kirchner y CFK para evaluar continuidad discursiva del kirchnerismo"
