case_unit_id,short_label,candidate_configuration_v0_4,candidate_notation_v0_4,adjudication_status_v0_4,adjudication_reason_v0_4,configuration_v0_3,notation_v0_3,configuration_changed,notation_changed
ALFONSIN_1983_1989,Alfonsín,paternalismo↔tecnocracia,PAT↔TEC,trayectoria_inestable,"La masa agregada favorece PAT, pero cinco transiciones documentales y dos cierres MES→TEC impiden convertirla en tipo fijo.",tecnocracia↔paternalismo,TEC↔PAT,True,True
MENEM_I_1989_1995,Menem I,paternalismo+tecnocracia,PAT→TEC,estable,PAT encuadra beneficiarios y continuidad; TEC ejecuta la transformación y aporta prueba.,paternalismo+tecnocracia,PAT→TEC,False,False
MENEM_II_1995_1999,Menem II,paternalismo+tecnocracia,PAT→TEC,estable,La segunda presidencia conserva la pareja y la flecha bajo siete de ocho controles LODO.,paternalismo↔tecnocracia,PAT↔TEC,True,True
DELARUA_1999_2001,De la Rúa,paternalismo↔tecnocracia,PAT↔TEC,trayectoria_inestable,La secuencia pasa de PAT→TEC a equilibrio y luego TEC↔PAT; el agregado no resuelve una dirección histórica única.,paternalismo↔tecnocracia,PAT↔TEC,False,False
RODRIGUEZ_SAA_2001,R. Saá,paternalismo+mesianismo,PAT→MES,baja_n,PAT organiza la promesa material y MES dramatiza la excepción; n=1 exige cautela máxima.,paternalismo↔mesianismo,PAT↔MES,True,True
DUHALDE_2002_2003,Duhalde,paternalismo+tecnocracia,PAT→TEC,sensible_a_fase,La asunción de crisis abre PAT↔MES; las aperturas siguientes estabilizan PAT→TEC.,paternalismo+tecnocracia,PAT→TEC,False,False
KIRCHNER_2003_2007,N. Kirchner,paternalismo+tecnocracia,PAT→TEC,trayectoria_inestable,"La pareja es estable, pero su dirección documental alterna; PAT gobierna el agregado y TEC realiza.",paternalismo+tecnocracia,PAT→TEC,False,False
CFK_I_2007_2011,CFK I,paternalismo+tecnocracia,PAT→TEC,estable,La recodificación funcional ordena la antigua indeterminación: PAT encuadra y TEC opera/prueba.,tecnocracia↔paternalismo,TEC↔PAT,True,True
CFK_II_2011_2015,CFK II,paternalismo+tecnocracia,PAT→TEC,sensible_a_fase,El agregado permanece PAT→TEC aunque 2011 y 2014 abren configuraciones alternativas.,paternalismo+tecnocracia,PAT→TEC,False,False
MACRI_2015_2019,Macri,tecnocracia↔paternalismo,TEC↔PAT,frontera,"TEC domina gobierno activo, PAT organiza la asunción; el bootstrap no autoriza una flecha única.",paternalismo+tecnocracia,PAT→TEC,True,True
ALBERTOF_2019_2023,A. Fernández,paternalismo+tecnocracia,PAT→TEC,estable_provisional,PAT conserva el encuadre agregado y TEC opera; falta la apertura 2023.,paternalismo+tecnocracia,PAT→TEC,False,False
MILEI_2023_PRESENTE,Milei,mesianismo+tecnocracia,MES→TEC↺,calibrador_longitudinal,"MES define tiempo, enemigo, autoridad y telos; TEC ejecuta y sus resultados retrovalidan la misión. PAT queda subordinado.",mesianismo+tecnocracia,MES→TEC↺,False,False
